id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
2864,vr-rider-virtual-reality-biking,VR Rider - Virtual Reality Biking,,1/29/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,152,0,0,PC,TheHamVr,Action,,,0,0,0,0,0,0
2865,any-moment,Any Moment,,8/31/2014,FALSE,2019-08-28T23:24:56,,0,0,0,0,0,32,0,0,PC||Web,Jakub Koziol,,,,0,0,0,0,0,0
2866,doom-death-destruction-tycoon,"Doom, Death & Destruction (Tycoon)",,8/25/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,137,0,0,PC||macOS||Linux,whoisnoahgames,Strategy,,,0,0,0,0,0,0
2867,bloody-trapland-2-curiosity,Bloody Trapland 2: Curiosity,,4/7/2017,FALSE,2019-08-28T22:14:31,http://www.bloodytrapland.com,0,0,2,29,1,281,0,1,PC,2Play||Prasius,Action||Adventure||Racing||Casual||Indie,2Play,,2,28,0,0,0,0
2868,syberia-3-an-automaton-with-a-plan,Syberia 3 - An Automaton with a plan,,12/8/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,2,305,0,2,PC||macOS,Plug In Digital,Adventure,,,1,0,2,0,0,0
2869,terminal-future-ep,Terminal Future EP,,11/2/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,84,0,0,PC,Roshirai,Simulation,,,0,0,0,0,0,0
2870,x-wing-vs-star-destroyer,X-Wing vs Star Destroyer,,2/12/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,103,0,0,PC||macOS||Linux,ahintoflime,Shooter,,,0,0,0,0,0,0
2871,love-in-space,Love in Space,,5/11/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,73,0,0,PC||Android,Sebastian Scaini||Anna Re||Dre Laurent,Action,,,0,0,0,0,0,0
2872,i-dont-have-a-cue-demo,I Don't Have A Cue! (Demo),,5/14/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,39,0,0,PC||macOS,Drazillion,,,,0,0,0,0,0,0
2873,space-phallus,Space Phallus,,2/11/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,130,0,0,PC||macOS||Linux,Charlie Knight,Shooter,,,0,0,0,0,0,0
2874,stacks,Stacks,,12/2/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,6,0,0,PC||macOS||Linux||Android||Web,Torfi,Simulation,,,0,0,0,0,0,0
2875,no-space-in-my-stomach,No Space In My Stomach,,8/13/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,56,0,0,PC||Web,Wise Hedgehog,Puzzle,,,0,0,0,0,0,0
2876,pathos-demo,PATHOS - Demo,,8/29/2017,FALSE,2019-08-28T23:24:56,,0,0,0,0,0,93,0,0,PC,John,,,,0,0,0,0,0,0
2877,space-badger-mystery-space-mystery-badger,SPACE BADGER MYSTERY SPACE MYSTERY BADGER,,10/9/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,63,0,0,Web,KPDwyer,,,,0,0,0,0,0,0
2878,toejam-earl-back-in-the-groove,ToeJam & Earl: Back in the Groove,,3/1/2019,FALSE,2019-10-23T10:54:23,http://adultswim.com/games/toe-jam-earl-back-in-the-groove,4.08,4,3,34,12,353,2,13,Xbox One||Nintendo Switch||PC||PlayStation 4,Humanature Studios,Adventure||Indie,Adult Swim Games||HumaNature Studios,Everyone 10+,13,106,6,7,5,3
2879,war-3,war,,1/19/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,137,0,0,Web,pchoo,Strategy,,,0,0,0,0,0,0
2880,gold-eater-ludum-dare-42,Gold Eater (Ludum Dare 42),,8/14/2018,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,37,0,0,PC||Web,Four Quarters team,Action,,,0,0,0,0,0,0
2881,motion-fencing,Motion Fencing,,3/3/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,41,0,0,PC,ChrisSwordGuy,Simulation,,,0,0,0,0,0,0
2882,astropocalypse,ASTROPOCALYPSE,,8/13/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,46,0,0,PC||Linux||Web,eight-point-o,Strategy,,,0,0,0,0,0,0
2883,scrapmetalship-ludum-dare-35,Scrapmetalship (Ludum Dare 35),,6/17/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,86,0,0,PC||Web,Four Quarters team,RPG,,,0,0,0,0,0,0
2884,friendhelper,FriendHelper++,,11/25/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,36,0,0,PC,Be Bad Boi,RPG,,,0,0,0,0,0,0
2885,curling-of-doom,Curling of Doom,,10/23/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,13,0,0,PC,rafaelfj0,Strategy||Sports,,,0,0,0,0,0,0
2886,roberto-selavinos-putting-championship,Roberto Selavino's Putting Championship,,11/4/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,39,0,0,PC,initials,Sports,,,0,0,0,0,0,0
2887,takea,Takea,,9/10/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,20,0,0,PC||macOS||Linux,Fanatic Studios,,,,0,0,0,0,0,0
2888,black-coco,Black Coco,,6/26/2018,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,74,0,0,PC||macOS||Linux||Web,Arche-san||Mad_Amethyst,Action,,,0,0,0,0,0,0
2889,clazer,Clazer,,12/27/2016,FALSE,2019-08-28T22:14:31,http://clazer.club,0,0,0,0,0,205,0,0,PC,SynapticSwitch,Simulation||Sports,SynapticSwitch||LeadTech,,0,10,0,0,0,0
2890,triglav,Triglav,,8/9/2018,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,378,0,0,PC,SmokymonkeyS,Action||Adventure||RPG,,,0,0,0,0,0,0
2891,will-you-ever-return,Will You Ever Return,,10/30/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,1,101,0,1,PC,jackspinoza,Adventure,,,0,1,0,0,0,0
2892,clurududu,Clurududu,,7/28/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,3,0,0,Web,Eduardo,Puzzle,,,0,0,0,0,0,0
2893,exo_encounter-667,EXO_encounter 667,,4/24/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,143,0,0,PC||macOS||Linux,technomancy,Puzzle,,,0,0,0,0,0,0
2894,its-dark,It's Dark,,7/12/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,156,0,0,PC,SrKibe,Adventure,,,0,0,0,0,0,0
2895,rebirth-online,Re:Birth Online,,5/19/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,159,0,0,PC,zarsie,RPG,,,0,0,0,0,0,0
2896,run-away-from-snakes,Run Away From Snakes,,6/5/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,110,0,0,PC||macOS||Linux,Charlie Batten,Platformer,,,0,0,0,0,0,0
2897,the-matsubusa-case-demo,The Matsubusa Case: Demo!,,12/16/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,19,0,0,PC||Web,Heart,,,,0,0,0,0,0,0
2898,sixtieth-kilometer,Sixtieth Kilometer,,8/25/2016,FALSE,2019-09-17T05:22:33,http://60thkm.com,2.23,1,4,0,31,203,0,31,PC||Linux,Talentplace,Adventure||Casual||Indie,Talentplace,,18,473,6,0,5,1
2899,skogen,Skogen,,3/21/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,84,0,0,PC||Web,LeoninoMalino||marionshkav,,,,0,0,0,0,0,0
2900,glass-city-alpha-v1,Glass City Alpha V1,,1/21/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,15,0,0,Web,Algirdas,Shooter,,,0,0,0,0,0,0
2901,karma-run,Karma Run,,12/5/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,25,0,0,PC||Linux,THX3142,,,,0,0,0,0,0,0
2902,high-fives,High Fives!,,2/8/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,43,0,0,,Self.Execute,Action||Fighting,,,0,0,0,0,0,0
2903,box-it-2,BOX IT!,,8/13/2018,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,2,0,0,Android||Web,Aconitum Games,,,,0,0,0,0,0,0
2904,bugspeed-collider-itch,Bugspeed Collider (itch),,5/13/2016,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,296,0,0,PC||macOS,Ghostbrite||Nick Splendorr||thepedrog@gmail.com,Action||Fighting,,,0,0,0,0,0,0
2905,the-photographer,The Photographer,,4/4/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,188,0,0,PC||macOS||Linux||Android,ATP Projects,Adventure,,,0,0,0,0,0,0
2906,stray-pepijn-willekens-futendra,"Stray (Pepijn Willekens, Futendra)",,8/29/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,94,0,0,PC||macOS||Linux,Pepijn Willekens||Futendra,Platformer,,,0,0,0,0,0,0
2907,city-on-mars,City on Mars,,6/10/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,138,0,0,Web,LapsuS,Simulation,,,0,0,0,0,0,0
2908,maia,Maia,,12/3/2013,FALSE,2019-09-17T14:19:52,http://www.MaiaGame.com,0,0,1,0,2,528,0,2,Linux||PC||macOS,Simon Roth,Strategy||Simulation||Indie,Machine Studios,,1,60,0,0,3,0
2909,chronicles-and-fables-arena,Chronicles and Fables: ARENA,,5/21/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,164,0,0,PC,SamuelsAttic,RPG,,,0,0,0,0,0,0
2910,jack-and-casie-kickstarter-version,Jack and Casie Kickstarter Version,,10/25/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,34,0,0,PC,shoutscion,Puzzle,,,0,0,0,0,0,0
2911,ur-land-build-your-empire,Ur-Land: Build your Empire,,12/4/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,135,0,0,Android,bauerlive,Strategy,,,0,0,0,0,0,0
2912,heck-o-sphere,Heck-O-Sphere,,9/25/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,13,0,0,PC||Web,FriendlyFrog||WVUGameDevelopers||Proud Mom Games||MasterReeses||mikethete,Action,,,0,0,0,0,0,0
2913,18-quintillion,18 Quintillion,,8/9/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,73,0,0,PC||Web,ArchBang,Simulation,,,0,0,0,0,0,0
2914,jump-to-win,Jump To Win,,4/26/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,14,0,0,PC||macOS||Linux,thewhalehusband,Platformer,,,0,0,0,0,0,0
2915,a-night-out,A Night Out,,2/27/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,70,0,0,PC||macOS||Linux,Froey,,,,0,0,0,0,0,0
2916,outlaw-itch,Outlaw (itch),,5/8/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,92,0,0,PC||macOS||Linux,eximarus,Platformer,,,0,0,0,0,0,0
2917,turtle-simulator,Turtle Simulator,,10/7/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,102,0,0,PC||macOS||Linux||Android,chikun,Adventure,,,0,0,0,0,0,0
2918,geospark-warning-highly-addictive,geoSpark - WARNING: Highly Addictive!,,12/5/2009,FALSE,2019-10-22T14:27:37,http://criticalthoughtgames.com/geospark,0,0,0,0,0,159,0,0,iOS,Critical Thought Games,Strategy||Arcade,Critical Thought Games,Everyone 10+,0,0,0,0,0,0
2919,space-impossible,Space Impossible,,3/1/2016,FALSE,2019-08-28T22:14:31,http://www.spaceimpossible.com,0,0,2,0,0,327,0,0,PC,Happy Polygon,Action||Adventure||Indie,Happy Polygon,,0,9,0,1,0,0
2920,black-sand-drift-itch,Black Sand Drift (itch),,6/7/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,326,0,0,PC,VinylFly,Shooter,,,0,0,0,0,0,0
2921,in-vitro-2,In Vitro 2,,4/17/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,12,0,0,PC||macOS||Web,David Birgé-Cotte||Rémi Leblanc,Simulation,,,0,0,0,0,0,0
2922,leaving,Leaving (itch),,12/9/2014,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,65,0,0,Web,My Sweet Whomp,Adventure,,,0,0,0,0,0,0
2923,robot-hate,Robot Hate,,4/18/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,103,0,0,PC,RobotLove,Action,,,0,0,0,0,0,0
2924,swordfish-sebastian-lague,Swordfish (Sebastian Lague),,2/12/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,28,0,0,PC||macOS||Linux||Web,Sebastian Lague,Action,,,0,0,0,0,0,0
2925,itch-2,itch,,4/1/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,22,0,0,Web,Liz England,,,,0,0,0,0,0,0
2926,quicksort,Quicksort,,5/26/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,27,0,0,PC||macOS,Keiwan,Puzzle,,,0,0,0,0,0,0
2927,the-last-guardian-ld42,The Last Guardian - LD42,,8/13/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,57,0,0,PC,Avon,Action,,,0,0,0,0,0,0
2928,besiege,Besiege,,1/28/2015,FALSE,2020-08-28T01:29:04,http://www.besiege.spiderlinggames.co.uk/index.html,3.83,4,2,30,314,434,0,314,macOS||PC||Linux,Spiderling Studios||Spiderling Studio,Strategy||Simulation||Indie,Spiderling Studios||Spiderling Studio,,86,1709,78,53,221,29
2929,spend-the-night-with-kitty,Spend The Night With Kitty,,5/27/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,113,0,0,PC,HKstudios,,,,0,0,0,0,0,0
2930,frog-assassin,Frog Assassin,,10/14/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,39,0,0,PC,anna anthropy,Action,,,0,0,0,0,0,0
2931,world-boxing-manager-itch,World Boxing Manager (itch),,12/10/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,189,0,0,PC,Aggroblakh,Simulation||Sports,,,0,0,0,0,0,0
2932,vault-raider,Vault Raider,,9/10/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,55,0,0,Android,Dreamwalk,RPG,,,0,0,0,0,0,0
2933,cyberift-arena,Cyberift Arena,,10/22/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,130,0,0,Web,John Miller,Action||Shooter,,,0,0,0,0,0,0
2934,segatakai,Segatakai,,10/17/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,238,0,0,PC,Indemonai Games,Adventure,,,0,0,0,0,0,0
2935,spar-the-card-game,Spar: The Card Game,,8/3/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,95,0,0,macOS||Android||Web,Alexander Shen,,,,0,0,0,0,0,0
2936,storm-rider,Storm Rider,,8/11/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,12,0,0,Web,SnoutUp,,,,0,0,0,0,0,0
2937,structure-please,"Structure, Please",,11/11/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,7,0,0,,Raphik12,Puzzle,,,0,0,0,0,0,0
2938,light-it,Light It,,3/30/2017,FALSE,2019-08-28T22:14:31,http://www.torazoit.com/lit/,0,0,0,0,0,229,0,0,Linux||PC,Torazo||Questro,Action||Indie,Torazo||Questro,,0,0,0,0,0,0
2939,dungeon-ball,Dungeon Ball,,7/29/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,69,0,0,PC,sergeeo,Platformer,,,0,0,0,0,0,0
2940,soulform,SoulForm,,11/26/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,5,0,0,Web,Catt Small,,,,0,0,0,0,0,0
2941,wink,Wink,,3/10/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,126,0,0,PC||macOS,Max Valley,Adventure||RPG||Platformer,,,0,0,0,0,0,0
2942,jawbreaker-itch,Jawbreaker (itch),,12/18/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,53,0,0,PC,JackBreen_HG,Action||Fighting,,,0,0,0,0,0,0
2943,mecha-roguelike,Mecha Roguelike,,11/27/2017,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,40,0,0,PC,CowThing,Strategy,,,0,0,0,0,0,0
2944,a-pirates-end,A Pirate's End,,2/24/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,65,0,0,PC||macOS,edkay,Adventure||Strategy,,,0,0,0,0,0,0
2945,transmogrify-itch,Transmogrify (itch),,6/15/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,56,0,0,PC||macOS||Linux,OdysseyEntertainment,Action||Puzzle||Platformer,,,0,0,0,0,0,0
2946,victim-of-xen-itch,Victim of Xen (itch),,5/6/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,1,83,0,1,PC,Smolders,RPG,,,0,0,0,0,0,0
2947,computer-dreams-screensaver-pack,computer dreams screensaver pack,,1/24/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,65,0,0,PC||macOS||Linux,Pol Clarissou,,,,0,0,0,0,0,0
2948,guns-n-boxes,Guns N' Boxes,,9/22/2016,FALSE,2019-08-28T22:14:31,http://www.gunsnboxes.com,0,0,0,0,0,352,0,0,PC||macOS,LightArrow Games,Action||Indie,LightArrow Games,,0,3,0,0,0,0
2949,trump-clicker-ld39,Trump Clicker #LD39,,7/31/2017,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,25,0,0,Web,Improx Games,,,,0,0,0,0,0,0
2950,yopaz-icestar,Yopaz IceStar,,11/13/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,84,0,0,PC,Orion_,Puzzle,,,0,0,0,0,0,0
2951,lockdown-protocol-itch,Lockdown Protocol (itch),,7/8/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,174,0,0,PC||Linux,FRACTiLE Games,Shooter,,,0,0,0,0,0,0
2952,anonymus,A.N.O.N.Y.M.U.S.,,12/26/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,130,0,0,PC,MaXoMeR,,,,0,0,0,0,0,0
2953,caliditas,Caliditas,,6/18/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,148,0,0,PC||macOS||Linux,Viktor,,,,0,0,0,0,0,0
2954,siestarena,Siestarena,,7/19/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,1,86,0,1,PC,DuneWorld,RPG,,,0,0,0,0,0,0
2955,i-monster,"I, Monster",,8/24/2015,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,140,0,0,PC||macOS||Linux,chkkll,RPG,,,0,0,0,0,0,0
2956,alien-empire,Alien Empire,,6/28/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,49,0,0,Web,Andrew Albers,Strategy,,,0,0,0,0,0,0
2957,rising-runner-itch,Rising Runner (itch),,1/13/2015,FALSE,2019-08-28T23:24:55,,0,0,0,0,0,91,0,0,PC||Linux,Magicbane,Puzzle,,,0,0,0,0,0,0
2958,goblins-2-go,Goblins 2 Go,,12/4/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,61,0,0,Web,SFBGames,Puzzle,,,0,0,0,0,0,0
2959,towers-of-altrac-epic-defense-battles,Towers of Altrac - Epic Defense Battles,,1/5/2015,FALSE,2019-08-28T22:14:31,http://www.towersofaltrac.com,0,0,9,82,1,579,0,1,PC||macOS,Andreas Stieger||Jsmael Stieger||Manuel Stieger,Action||Strategy||Indie,Cybertron Design Studios,,1,48,0,0,0,0
2960,game-425,123456,,1/15/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,7,0,0,Web,Twyblade,Puzzle,,,0,0,0,0,0,0
2961,this-book-is-a-dungeon-demo,This Book Is A Dungeon ** DEMO**,,5/27/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,112,0,0,PC,NathanMeunier,RPG,,,0,0,0,0,0,0
2962,paper-plane-2-itch,Paper Plane (itch),,11/29/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,72,0,0,PC,VRARlab,,,,0,0,0,0,0,0
2963,fallout-random-character-generator,Fallout Random Character Generator,,1/4/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,28,0,0,PC,Aaron The Game Maker,,,,0,0,0,0,0,0
2964,stak-bots-breakout,Stak Bots - Breakout,,9/23/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,176,0,0,PC||macOS,DogEared Games,Puzzle,,,0,0,0,0,0,0
2965,shi-bemonsuta-tabemonster,食べモンスター！ （ＴＡＢＥＭＯＮＳＴＥＲ！）,,3/6/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,26,0,0,PC,aschtronaut,Sports,,,0,0,0,0,0,0
2966,wrestling-romance,Wrestling & Romance,,12/26/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,123,0,0,PC||Android,Witchery Studios,,,,0,0,0,0,0,0
